,features
0,AssignmentDurationInSeconds
1,WorkTimeInSeconds
2,Answer.ProfileEducation
3,Answer.ProfileIncome
4,Answer.ProfileYear
5,Age
6,Age_Log
7,Female
8,Male
9,African American
10,American Indian or Native American
11,Asian
12,Hispanic or Latino/Latina
13,Native Hawaiian or Pacific Islander
14,White
15,Alabama
16,Alaska
17,Arizona
18,Arkansas
19,California
20,Colorado
21,Connecticut
22,Delaware
23,District of Columbia
24,Florida
25,Georgia
26,Hawaii
27,Idaho
28,Illinois
29,Indiana
30,Iowa
31,Kansas
32,Kentucky
33,Louisiana
34,Maine
35,Maryland
36,Massachusetts
37,Michigan
38,Minnesota
39,Mississippi
40,Missouri
41,Montana
42,Nebraska
43,Nevada
44,New Hampshire
45,New Jersey
46,New Mexico
47,New York
48,North Carolina
49,Ohio
50,Oklahoma
51,Oregon
52,Pennsylvania
53,Rhode Island
54,South Carolina
55,South Dakota
56,Tennessee
57,Texas
58,Utah
59,Vermont
60,Virginia
61,Washington
62,West Virginia
63,Wisconsin
64,Wyoming
65,F1.AH0
66,F2.AH0
67,F3.AH0
68,F1.AH1
69,F2.AH1
70,F3.AH1
71,F1.AO1
72,F2.AO1
73,F3.AO1
74,F1.ER0
75,F2.ER0
76,F3.ER0
77,F1.EY1
78,F2.EY1
79,F3.EY1
80,F1.IH1
81,F2.IH1
82,F3.IH1
83,F1.IY1
84,F2.IY1
85,F3.IY1
86,durPerPhone
87,Phonecount
88,PhonePerSec
89,durPerWord
90,Wordcount
91,WordPerSec
92,f0sd
93,f0mean
94,CoG_s
95,CoG_z
96,H1H2
97,H1A1
98,H1A2
99,H1A3
100,Phonecount_28
101,Phonecount_31
102,F1.AH0_Norm
103,F2.AH0_Norm
104,F3.AH0_Norm
105,F1.AH1_Norm
106,F2.AH1_Norm
107,F3.AH1_Norm
108,F1.AO1_Norm
109,F2.AO1_Norm
110,F3.AO1_Norm
111,F1.ER0_Norm
112,F2.ER0_Norm
113,F3.ER0_Norm
114,F1.EY1_Norm
115,F2.EY1_Norm
116,F3.EY1_Norm
117,F1.IH1_Norm
118,F2.IH1_Norm
119,F3.IH1_Norm
120,F1.IY1_Norm
121,F2.IY1_Norm
122,F3.IY1_Norm
123,durPerPhone_Norm
124,PhonePerSec_Norm
125,durPerWord_Norm
126,WordPerSec_Norm
127,f0sd_Norm
128,f0mean_Norm
129,CoG_s_Norm
130,CoG_z_Norm
131,H1H2_Norm
132,H1A1_Norm
133,H1A2_Norm
134,H1A3_Norm
135,Gender_male
136,Gender_female
137,onset_number
138,onset_strength_max
139,onset_strength_mean
140,onset_strength_var
141,RMSE_max
142,RMSE_var
143,Pitch_0
144,Pitch_1
145,Pitch_2
146,Pitch_3
147,Pitch_4
148,Pitch_5
149,Pitch_6
150,Pitch_7
151,Pitch_8
152,Pitch_9
153,Pitch_10
154,Pitch_11
155,Gaus_mean_0
156,Gaus_var_0
157,Gaus_mean_1
158,Gaus_var_1
159,Gaus_mean_2
160,Gaus_var_2
161,Gaus_mean_3
162,Gaus_var_3
163,Gaus_mean_4
164,Gaus_var_4
165,Gaus_mean_5
166,Gaus_var_5
167,Gaus_mean_6
168,Gaus_var_6
169,Gaus_mean_7
170,Gaus_var_7
171,Gaus_mean_8
172,Gaus_var_8
173,Gaus_mean_9
174,Gaus_var_9
175,Gaus_mean_10
176,Gaus_var_10
177,Gaus_mean_11
178,Gaus_var_11
179,Gaus_mean_12
180,Gaus_var_12
181,Gaus_mean_13
182,Gaus_var_13
183,Gaus_mean_14
184,Gaus_var_14
185,Gaus_mean_15
186,Gaus_var_15
187,Gaus_mean_16
188,Gaus_var_16
189,Gaus_mean_17
190,Gaus_var_17
191,Gaus_mean_18
192,Gaus_var_18
193,Gaus_mean_19
194,Gaus_var_19
195,Gaus_mean_20
196,Gaus_var_20
197,Gaus_mean_21
198,Gaus_var_21
199,Gaus_mean_22
200,Gaus_var_22
201,Gaus_mean_23
202,Gaus_var_23
203,Gaus_mean_24
204,Gaus_var_24
205,Gaus_mean_25
206,Gaus_var_25
207,Gaus_mean_26
208,Gaus_var_26
209,Gaus_mean_27
210,Gaus_var_27
211,Gaus_mean_28
212,Gaus_var_28
213,Gaus_mean_29
214,Gaus_var_29
215,Gaus_mean_30
216,Gaus_var_30
217,Gaus_mean_31
218,Gaus_var_31
219,Gaus_mean_32
220,Gaus_var_32
221,Gaus_mean_33
222,Gaus_var_33
223,Gaus_mean_34
224,Gaus_var_34
225,Gaus_mean_35
226,Gaus_var_35
227,Gaus_mean_36
228,Gaus_var_36
229,Gaus_mean_37
230,Gaus_var_37
231,Gaus_mean_38
232,Gaus_var_38
