,features,Aggressive_label,Attractive_label,Confident_label,Intelligent_label,Masculine_label,Trust_label
0,AssignmentDurationInSeconds,3.80E-05,-7.00E-05,5.11E-07,-1.68E-05,-2.93E-05,6.21E-05
1,WorkTimeInSeconds,-7.33E-05,9.07E-05,1.87E-06,5.72E-05,0.000108072,-8.66E-05
2,Answer.ProfileEducation,0.008390887,0.086414148,-0.028948014,-0.024198494,-0.006011973,-0.002821256
3,Answer.ProfileIncome,0.011660234,-0.007930537,0.012638113,0.02377305,0.013697653,0.004655693
4,Answer.ProfileYear,0.00164767,0.001747259,0.001669874,0.000633385,0.003134157,0.001931166
5,Age,0.004598897,0.00066463,0.004284829,-0.003138495,0.009007157,0.000678084
6,Age_Log,0,0,0,0,0,0
7,Female,0,0,0,0,0,0
8,Male,0,0,0,0,0,0
9,African American,0,0,0,0,0,0
10,American Indian or Native American,0,0,0,0,0,0
11,Asian,0,0,0,-0.005456601,0,0.023260179
12,Hispanic or Latino/Latina,0,0,0,0,0,0
13,Native Hawaiian or Pacific Islander,0,0,0,0,0,0
14,White,0.001218013,0.05083835,0.011143284,0,0,-0.032601638
15,Alabama,0,0,0,0,0,0
16,Alaska,0,0,0,0,0,0
17,Arizona,0,0.057476205,0,0,0,0
18,Arkansas,0,0,0,0,0,0
19,California,-0.006989674,0,0,-0.085393319,0,0
20,Colorado,0,0,0,0,0,0
21,Connecticut,0,0,0,0,0,0
22,Delaware,0,0,0,0,0,0
23,District of Columbia,0,0,0,0,0,0
24,Florida,0,0,0,0,0,-0.002368383
25,Georgia,0,0,0,0,0,0
26,Hawaii,0,0,0,0,0,0
27,Idaho,0,0,0,0,0,0
28,Illinois,0,0,0,0,0,0
29,Indiana,0,0,0,0,0,0
30,Iowa,0,0,0,0,0,0
31,Kansas,0,0,0,0,0,0
32,Kentucky,0,0,0,0,0,0
33,Louisiana,0,0,0,0,0,0
34,Maine,0,0,0,0,0,0
35,Maryland,0,0,0,0,0,0
36,Massachusetts,0,0,0,0,0,0
37,Michigan,0,0,0,0,0,0
38,Minnesota,0,0,0,0,0,0
39,Mississippi,0,0,0,0,0,0
40,Missouri,0,0,0,0,0,0
41,Montana,0,0,0,0,0,0
42,Nebraska,0,0,0,0,0,0
43,Nevada,0,0,0,0,0,0
44,New Hampshire,0,0,0,0,0,0
45,New Jersey,0,0,0,0,0,0
46,New Mexico,0,0,0,0,0,0
47,New York,0,-0.018120769,0,0,0,0
48,North Carolina,0,0,0,0,0,0
49,Ohio,0,0,0,0,0,0
50,Oklahoma,0,0,0,0,0,0
51,Oregon,0,0,0,0,0,0
52,Pennsylvania,0,0,0,0,0,0
53,Rhode Island,0,0,0,0,0,0
54,South Carolina,0,0,0,0,0,0
55,South Dakota,0,0,0,0,0,0
56,Tennessee,0,0,0,0,0,0
57,Texas,0,0,0,0,-0.01116879,0
58,Utah,0,0,0,0,0,0
59,Vermont,0,0,0,0,0,0
60,Virginia,0,0,0,0,0,0
61,Washington,0,0,0,0,0,0
62,West Virginia,0,0,0,0,0,0
63,Wisconsin,0,0,0,0,0,0
64,Wyoming,0,0,0,0,0,0
65,F1.AH0,-0.000677539,-0.000309977,-0.001143975,-0.000877293,-0.000307396,-0.000506691
66,F2.AH0,0.000435172,0.000250402,0.00077402,0.000334337,0.000624988,5.47E-05
67,F3.AH0,9.10E-05,-0.000161843,0.00012372,0.000243718,-0.000486588,0.000213719
68,F1.AH1,0.000739272,-0.000128216,0.000603781,0.000405312,-0.000106994,6.48E-05
69,F2.AH1,-0.000498475,-0.000118083,-0.000333516,-0.000412345,-0.000612303,-3.83E-05
70,F3.AH1,-4.18E-05,0.000243601,-4.53E-05,-5.82E-05,-0.00019896,-4.64E-05
71,F1.AO1,9.91E-06,0.000254222,0.000209049,0.000405626,-2.04E-05,0.000164621
72,F2.AO1,-2.56E-05,2.56E-06,-7.82E-05,-3.90E-05,3.34E-05,1.27E-05
73,F3.AO1,8.53E-05,3.22E-05,0.000125254,2.83E-05,0.000167816,-4.57E-05
74,F1.ER0,7.27E-05,4.38E-05,9.30E-05,1.16E-05,0.000179578,5.25E-05
75,F2.ER0,-2.77E-05,6.47E-07,-0.000151815,5.17E-05,-0.000398732,-0.000258206
76,F3.ER0,-1.18E-05,-9.08E-05,-4.23E-05,-5.78E-05,5.69E-05,-4.82E-06
77,F1.EY1,-0.00042411,-0.000305012,-7.60E-05,-0.000366937,0.000324548,-0.000353205
78,F2.EY1,-1.08E-05,0.000413698,-2.18E-05,0.00018455,-0.000979879,0.000394622
79,F3.EY1,-0.000176973,-0.000225104,-0.00023552,-6.57E-05,-0.000249396,1.14E-05
80,F1.IH1,0.000209254,0.000255359,0.000280113,-2.19E-05,0.000576727,3.19E-05
81,F2.IH1,-0.000166199,-0.000273095,-0.000328736,-5.64E-05,-0.000471191,-0.000204063
82,F3.IH1,-0.000149695,-9.72E-05,-0.000231907,-7.56E-05,-0.00015974,-0.000127487
83,F1.IY1,-0.00060937,-0.000288762,-0.000591092,-0.000350866,0,-0.000465676
84,F2.IY1,0.000514073,-7.87E-06,0.000424699,0.000397416,-0.000433849,0.000171371
85,F3.IY1,-0.000478211,-0.000474457,-0.000565128,-0.00054854,-0.000438703,-0.000208403
86,durPerPhone,-6.88E-05,0,-0.002914615,-0.004500205,0,0
87,Phonecount,0,0,0,0,0.074292438,0
88,PhonePerSec,0,-0.046735432,-0.016173333,-0.001164632,0,-0.102817801
89,durPerWord,-0.00890268,-0.011326116,-0.007355128,-0.00387105,0.000734484,-0.01163274
90,Wordcount,0,0,0,0,0,0
91,WordPerSec,0,0,0,0,0,0
92,f0sd,0.003491451,0.003239064,0.005671473,0.003003877,0.006206013,0.00223552
93,f0mean,-0.005228272,-0.004093868,-0.007960825,-0.005447413,-0.014933476,-0.002873833
94,CoG_s,-2.19E-05,0.000135731,-1.21E-06,6.04E-05,-0.000179623,3.99E-05
95,CoG_z,1.77E-05,7.13E-05,5.56E-05,6.22E-05,-3.23E-05,9.21E-05
96,H1H2,-4.59E-05,-0.000864292,-0.00116886,-0.001367428,2.52E-05,0.000381802
97,H1A1,0.000603907,-0.000576255,-0.002077043,-0.002923314,0.001370632,-0.002400289
98,H1A2,-0.004891439,-0.008563025,-0.009893608,-0.006190859,-0.006398345,0.00070767
99,H1A3,-0.010370508,-0.005844236,-0.001537368,0.002967845,-0.009494771,-0.003239355
100,Phonecount_28,0,0,0,0,0,0
101,Phonecount_31,0,0,0,0,0,0
102,F1.AH0_Norm,0,0,0,0,0,0
103,F2.AH0_Norm,0,0,0,0,0,0
104,F3.AH0_Norm,0,0,0,0,0,0
105,F1.AH1_Norm,0,0,0,0,0,0
106,F2.AH1_Norm,0,0,0,0,0,0
107,F3.AH1_Norm,0,0,0,0,0,0
108,F1.AO1_Norm,0,0,0,0,0,0
109,F2.AO1_Norm,0,0,0,0,0,0
110,F3.AO1_Norm,0,0,0,0,0,0
111,F1.ER0_Norm,0,0,0,0,0,0
112,F2.ER0_Norm,0,0,0,0,0,0
113,F3.ER0_Norm,0,0,0,0,0,0
114,F1.EY1_Norm,0,0,0,0,0,0
115,F2.EY1_Norm,0,0,0,0,0,0
116,F3.EY1_Norm,0,0,0,0,0,0
117,F1.IH1_Norm,0,0,0,0,0,0
118,F2.IH1_Norm,0,0,0,0,0,0
119,F3.IH1_Norm,0,0,0,0,0,0
120,F1.IY1_Norm,0,0,0,0,0,0
121,F2.IY1_Norm,0,0,0,0,0,0
122,F3.IY1_Norm,0,0,0,0,0,0
123,durPerPhone_Norm,0,0,0,0,0,0
124,PhonePerSec_Norm,0,0,0,0,0,0
125,durPerWord_Norm,0,0,0,0,0,0
126,WordPerSec_Norm,0,0,0,0,0,0
127,f0sd_Norm,0,0,0,0,0,0
